曜日,時間,メルマガ内容,通数,種別,PR,形式,対象年齢,対象現住所,求人の職種,備考,新規,設定者,確認者,配信停止
月,14,☆東海,0.5,毎週配信,,抽出,,,,,,平,荒,FALSE
月,20,36歳以上正社員求人,2,毎週配信,,抽出,,,,,,R,,FALSE
月,8,webデザイナー×未経験歓迎_希望,0.6,毎週配信,,抽出,,,,,,R,,FALSE
月,11,クリエイティブ総合ランキング,0.8,毎週配信,,抽出,,,,,,R,,FALSE
月,21,フルフレックス,3.1,毎週配信,,抽出,,,,,,R,,FALSE
月,15,ランキング_事務（医療事務）_希望,0.2,毎週配信,,抽出,,,,,,R,,FALSE
月,9,ランキング_事務（広報）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
月,13,リモートワーク B,2.4,毎週配信,,抽出,,,,,,R,,FALSE
月,21,営業_カタカナ職業,0.8,毎週配信,,抽出,,,,,,R,,FALSE
月,15,営業（キャリアカウンセラー）_希望,0.2,毎週配信,,抽出,,,,,,R,,FALSE
月,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
月,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
月,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
月,11,関西_未経験リモート_事務,0.7,毎週配信,,抽出,,,,,,R,,FALSE
月,19,関西‗超好条件_事務,0.7,毎週配信,,抽出,,,,,,部,武,FALSE
月,14,希望勤務地_埼玉,0.7,毎週配信,,抽出,,,,,,R,,FALSE
月,14,希望勤務地_千葉,0.7,毎週配信,,抽出,,,,,,R,,FALSE
月,14,希望勤務地_東京,1.9,毎週配信,,抽出,,,,,,R,,FALSE
月,20,広報・マーケティング_リモート_未経験,1,毎週配信,,抽出,,,,,,R,,FALSE
月,8,高収入_リモート_営業,1.2,毎週配信,,抽出,,,,,,R,,FALSE
月,8,高収入_リモート_事務,3,毎週配信,,抽出,,,,,,R,,FALSE
月,20,国認定企業,1.6,毎週配信,,抽出,,,,,,R,,FALSE
月,18,事務_経験_35歳以上_首都圏版,0.1,毎週配信,,抽出,,,,,,R,,FALSE
月,18,事務_未経験_35歳以上_首都圏版,0.1,毎週配信,,抽出,,,,,,R,,FALSE
月,18,事務_未経験_休眠会員_首都圏版,1,毎週配信,,抽出,,,,,,R,,FALSE
月,16,事務職 B,1.7,毎週配信,,抽出,,,,,,R,,FALSE
月,16,事務職_35歳以上 B,3,毎週配信,,抽出,,,,,,R,,FALSE
月,16,事務職_関西 B,1,毎週配信,,抽出,,,,,,R,,FALSE
月,19,自己PR不要_35歳以上,0.4,毎週配信,,抽出,,,,,,R,,FALSE
月,18,自己PR不要_フルリモート,2.2,毎週配信,,抽出,,,,,,R,,FALSE
月,20,新規会員向け_フルリモート×未経験歓迎,0.4,毎週配信,,抽出,,,,,,R,,FALSE
月,19,全国_超好条件_事務,1,毎週配信,,抽出,,,,,,R,,FALSE
月,14,大手・上場企業×事務,1,毎週配信,,抽出,,,,,,R,,FALSE
月,17,単独求人訴求メルマガ_C,3,毎週配信,,フリー,,,,,,石,武,FALSE
月,18,中国地方で働く,0.2,毎週配信,,抽出,,,,,,R,,FALSE
月,19,超好条件_エンジニア,0.4,毎週配信,PR167掲載中(終了日未定),抽出,,,,,,部,石,FALSE
月,9,直近新規登録会員向け,1.3,毎週配信,,抽出,,,,,,R,,FALSE
月,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
月,9,年収600万円以上,0.3,毎週配信,,抽出,,,,,,R,,FALSE
月,13,美容業界×事務_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
月,20,不動産×事務,0.2,毎週配信,,抽出,,,,,,R,,FALSE
月,8,◇掲載終了前+UP B,2,毎週配信,,抽出,,,,,,内,荒,FALSE
