【うき】　 メルマガPR 管理表,,,,,,,,
▼ルール▼,,,,,,,,
・PRを挿入するメルマガには、スケジュールの枠に「PR＊（PR IDを入れ下さい）（期限まで/のみ）」を入力する　※PRを削除する週は「PR＊（PR IDを入れ下さい）削除」を入力する,,,,,,,,
・PRが終了したら、グレーにする,,,,,　,,,
・新着メルマガPRも管理表に入れる,,,,,,,,
※リストに記載が無い場合、把握漏れの可能性があります。ご連絡下さい。（2018/1/23荒木）,,,,,,,,
PR ID,名称,PRが入るメルマガ,PR文面,開始予定日,終了予定日,終了,備考,
31,アパレル大特集,"（火19）応募ランキング A
（木12）応募ランキング B
（土12）検討中ランキング
（日09）応募ランキング C","┏━━━★期間限定特集★━━━━┓

10年後、20年後も女性として輝き続けたい！
仕事を通して自分もキレイになれる
アパレル・コスメ業界の求人情報をお届け！

◆アパレル・コスメ業界大特集◆
https://woman.type.jp/s/fashion/sp20160927/?waad=Sc9pToTa&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2018/02/27,2018/03/26,終了,"（火19）応募ランキング A→冒頭文の下に。

（木12）応募ランキング B→冒頭文の下に。

（土12）検討中ランキング→冒頭文の下に。

（日09）応募ランキング C→冒頭文の下に。",
32,女性推進／IT・Web大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆国認定企業もあり！女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=V7ubckQG&xmid=<%XMID%>&ac=<%USR_SEQ%>

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman.type.jp/s/websp/?waad=SUBUNnw7&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2018/03/20,2018/04/16,終了,"（火金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に入れる。

（月11）納品対策→「冒頭文」の下、「INDEX」の上に入れる。",
33,女性推進大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆国認定企業もあり！女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=V7ubckQG&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2018/04/17,2018/05/14,終了,"（火金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に入れる。

（月11）納品対策→「冒頭文」の下、「INDEX」の上に入れる。",
34,@type機能紹介,（木12）応募ランキング B,"-----------------
★「＠type」から耳より情報★

女の転職＠typeの姉妹サイト『＠type』には
自己PRも職務経歴書も書かずに応募できる企業があるのを知っていますか？？

◎業務経験が無くても大歓迎
◎性格重視の選考を行っている

こんな企業に応募したい方にはピッタリ！！
入力項目が少ない簡単なフォームから応募ができます！

自己PRと職務経歴書ナシでも応募できる企業を確認してみてください♪
⇒ https://type.jp/special/4165/?waad=QbgJwn9O
-----------------",2018/05/10,2018/05/24,終了,冒頭文の下に入れる。,
35,女性向けミドルセミナー,"（火20）35歳以上向け A
（土20）35歳以上向け B","━ PR ━━━━━━━━━━━━━━
★参加無料★
【 これからが本番！40代～主役になれる仕事に出会えるセミナー！】
---------------------------------- 
2018年6月8日(金)  13：00～ ＠赤坂

▼エントリーはこちらから▼
https://woman-type.jp/seminar/detail/31017/?waad=FcOlE4mL
━━━━━━━━━━━━━━━━━",2018/05/26,2018/06/05,終了,フッター最上部　⇒　冒頭文直下　に変更,
36,志向別大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",2018/05/28,2018/06/19,終了,"（火金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に入れる。

（月11）納品対策→「冒頭文」の下、「INDEX」の上に入れる。",
37,女性ITイベント,"（火20）20代に人気
（木14）リモートワーク A
（日9）応募ランキング C","━ PR ━━━━━━━━━━━━━━
未経験でもプログラミング体験できる！
【ITスキルで広がる女性の働き方の未来】
━━━━━━━━━━━━━━━━━
2018年07月07日(土)
13：00～16：00　＠渋谷

★無料＆軽食付き

▼エントリーはこちらから▼
https://woman-type.jp/seminar/detail/30951/?waad=lH0U1oar
━━━━━━━━━━━━━━━━━",2018/06/19,2018/07/02,終了,「冒頭文」の下に入れる。,
38,販サ大特集,（月11）納品対策,"┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

◆2018年後半は心機一転！この時期だから出会えるおすすめ求人特集◆
https://woman-type.jp/job-feature/18103?waad=XSM15xGb

┗━━━━━━━━━━━━━━━┛",2018/06/25,2018/07/16,終了,「冒頭文」の下、「INDEX」の上に入れる。,
39,営業大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",2018/07/23,2018/08/21,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
40,Sansanイベント告知,"（火20）
20代に人気
20代に人気_第二新卒","▼ PR ▼ ━━━━━━━━━━━━━
 【会員限定特別無料イベントのお知らせ｜女の転職×Eight】
 9月19日（水）『働く女性のためのマインドフルネス体験講座
 心のNG習慣を捨ててキャリアの不安を解消しよう！』
※ジャン=ポール・エヴァンのチョコレートつき！
 https://woman-type.jp/seminar/detail/31128/?waad=U3I4lF5G
━━━━━━━━━━━━━━━━━",2018/08/28,2018/09/11,終了,INDEX下、求人の上に入れる。,
41,IT・介護大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2018/08/27,2018/09/18,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
42,アパレル・コスメ業界大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2018/09/24,2018/10/16,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
43,女性の活躍推進企業特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆国認定企業もあり！女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=V7ubckQG&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2018/10/26,2018/12/18,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
44,さいたまフェア,"11/12（月）
希望勤務地_埼玉","━ PR ━━━━━━━━━━━━━━
★入場無料・転職相談コーナーあり★
【 女性のための転職イベント～未経験からの転職を応援～ in大宮 】
---------------------------------- 
2018年11月25日(日)  12：00～16：00 ＠大宮ソニックシティ

▼エントリーはこちらから▼
https://woman-type.jp/seminar/detail/31170/?waad=FcOlE4mL
━━━━━━━━━━━━━━━━━",2018/11/12,2018/11/12,終了,冒頭エリアに入れる,
45,アパレル･コスメ業界大特集,（火金12）新着総合,"┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2018/12/21,2019/01/29,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
46,"アパレル･コスメ業界大特集
＆
納品対策",（月12）納品対策,"┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

◆2019年は心機一転！編集部厳選のとっておき求人◆
https://woman-type.jp/job-feature/18243/?waad=XSM15xGb

┗━━━━━━━━━━━━━━━┛",2018/12/24,2019/01/28,終了,,
47,サイト名変更のお知らせ,（火金12）新着総合,"※※ サイト名変更のお知らせ ※※
2019年1月8日よりサービス名を『女の転職＠type』から『女の転職type』に変更いたしました。",2019/01/08,2019/01/18,終了,「PR企業」の下、PR45の上に入れる。,
48,介護特集,"（火12）新着総合
（火14）福祉事務
（火14）福祉事務_35歳以上
（金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2019/02/01,2019/02/28,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
49,IT・Web業界大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",2019/03/01,2019/03/28,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
